Foundations of Social Development,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1
9,51%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,60%,67%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,77%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,91%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
10,43%,57%,57%,57%,57%,57%,57%,57%,57%,57%,63%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,73%,80%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,88%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
11,51%,57%,57%,57%,57%,64%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,73%,81%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,92%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
12,64%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,77%,84%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,92%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
13,57%,57%,57%,58%,66%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,77%,84%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,91%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
14,43%,44%,52%,57%,57%,61%,68%,71%,71%,71%,71%,71%,71%,71%,73%,81%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
15,49%,56%,62%,69%,71%,71%,74%,80%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,92%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
16,64%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,77%,84%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,89%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
17,64%,71%,79%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,93%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
18,71%,71%,71%,71%,78%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
19,71%,71%,71%,71%,71%,74%,82%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,94%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
20,77%,82%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,92%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
21,77%,83%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,91%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
22,75%,79%,83%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,88%,92%,96%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
23,47%,52%,57%,61%,66%,70%,75%,79%,84%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,90%,95%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
24,57%,57%,57%,57%,60%,63%,67%,70%,74%,77%,81%,84%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,89%,93%,96%,99%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
